Total Block Instances Placed: 14586
Z_Coord | Y_Coord | Item_Name | Start_Frame
-------------------------------------------------------------------------------------
 0 |  0 | snow_6x6_1f.Item.Gbx      |   0
 6 |  0 | snow_6x6_1f.Item.Gbx      |   0
 0 |  6 | snow_6x6_1f.Item.Gbx      |   0
 6 |  6 | snow_6x6_1f.Item.Gbx      |   0
 0 | 12 | snow_6x6_1f.Item.Gbx      |   0
 0 | 18 | snow_6x6_1f.Item.Gbx      |   0
26 | 18 | snow_6x6_1f.Item.Gbx      |   0
 6 | 21 | snow_6x6_1f.Item.Gbx      |   0
 0 |  0 | snow_6x6_1f.Item.Gbx      |   1
 6 |  0 | snow_6x6_1f.Item.Gbx      |   1
 0 |  6 | snow_6x6_1f.Item.Gbx      |   1
 6 |  6 | snow_6x6_1f.Item.Gbx      |   1
 0 | 12 | snow_6x6_1f.Item.Gbx      |   1
 6 | 12 | snow_6x6_1f.Item.Gbx      |   1
 0 | 18 | snow_6x6_1f.Item.Gbx      |   1
 6 | 18 | snow_6x6_1f.Item.Gbx      |   1
 0 |  0 | snow_6x6_1f.Item.Gbx      |   2
 6 |  0 | snow_6x6_1f.Item.Gbx      |   2
 0 |  6 | snow_6x6_1f.Item.Gbx      |   2
 6 |  6 | snow_6x6_1f.Item.Gbx      |   2
 0 | 12 | snow_6x6_1f.Item.Gbx      |   2
 6 | 12 | snow_6x6_1f.Item.Gbx      |   2
 0 | 18 | snow_6x6_1f.Item.Gbx      |   2
 6 | 18 | snow_6x6_1f.Item.Gbx      |   2
 0 |  0 | snow_6x6_1f.Item.Gbx      |   3
 6 |  0 | snow_6x6_1f.Item.Gbx      |   3
 0 |  6 | snow_6x6_1f.Item.Gbx      |   3
 6 |  6 | snow_6x6_1f.Item.Gbx      |   3
 0 | 12 | snow_6x6_1f.Item.Gbx      |   3
 0 | 18 | snow_6x6_1f.Item.Gbx      |   3
 6 | 20 | snow_6x6_1f.Item.Gbx      |   3
 0 |  0 | snow_6x6_1f.Item.Gbx      |   4
25 |  0 | snow_6x6_1f.Item.Gbx      |   4
 6 |  5 | snow_6x6_1f.Item.Gbx      |   4
 0 |  6 | snow_6x6_1f.Item.Gbx      |   4
 6 | 11 | snow_6x6_1f.Item.Gbx      |   4
 0 | 12 | snow_6x6_1f.Item.Gbx      |   4
 6 | 17 | snow_6x6_1f.Item.Gbx      |   4
 0 | 18 | snow_6x6_1f.Item.Gbx      |   4
 0 |  0 | snow_6x6_1f.Item.Gbx      |   5
20 |  0 | snow_6x6_1f.Item.Gbx      |   5
 0 | 16 | snow_6x6_1f.Item.Gbx      |   5
 6 | 19 | snow_6x6_1f.Item.Gbx      |   5
 0 |  0 | snow_6x6_1f.Item.Gbx      |   6
 6 |  0 | snow_6x6_1f.Item.Gbx      |   6
18 |  0 | snow_6x6_1f.Item.Gbx      |   6
24 |  0 | snow_6x6_1f.Item.Gbx      |   6
 0 |  6 | snow_6x6_1f.Item.Gbx      |   6
 6 |  6 | snow_6x6_1f.Item.Gbx      |   6
20 |  6 | snow_6x6_1f.Item.Gbx      |   6
26 |  6 | snow_6x6_1f.Item.Gbx      |   6
 0 | 12 | snow_6x6_1f.Item.Gbx      |   6
 6 | 12 | snow_6x6_1f.Item.Gbx      |   6
19 | 12 | snow_6x6_1f.Item.Gbx      |   6
25 | 12 | snow_6x6_1f.Item.Gbx      |   6
12 | 14 | snow_6x6_1f.Item.Gbx      |   6
 0 | 18 | snow_6x6_1f.Item.Gbx      |   6
 6 | 18 | snow_6x6_1f.Item.Gbx      |   6
18 | 18 | snow_6x6_1f.Item.Gbx      |   6
24 | 18 | snow_6x6_1f.Item.Gbx      |   6
12 | 20 | snow_6x6_1f.Item.Gbx      |   6
 0 |  0 | snow_6x6_1f.Item.Gbx      |   7
 6 |  0 | snow_6x6_1f.Item.Gbx      |   7
12 |  0 | snow_6x6_1f.Item.Gbx      |   7
18 |  0 | snow_6x6_1f.Item.Gbx      |   7
24 |  0 | snow_6x6_1f.Item.Gbx      |   7
 0 |  6 | snow_6x6_1f.Item.Gbx      |   7
 6 |  6 | snow_6x6_1f.Item.Gbx      |   7
12 |  6 | snow_6x6_1f.Item.Gbx      |   7
18 |  6 | snow_6x6_1f.Item.Gbx      |   7
24 |  6 | snow_6x6_1f.Item.Gbx      |   7
 0 | 12 | snow_6x6_1f.Item.Gbx      |   7
 6 | 12 | snow_6x6_1f.Item.Gbx      |   7
22 | 12 | snow_6x6_1f.Item.Gbx      |   7
 0 | 18 | snow_6x6_1f.Item.Gbx      |   7
 6 | 18 | snow_6x6_1f.Item.Gbx      |   7
22 | 18 | snow_6x6_1f.Item.Gbx      |   7
 0 |  0 | snow_6x6_1f.Item.Gbx      |   8
 6 |  0 | snow_6x6_1f.Item.Gbx      |   8
12 |  0 | snow_6x6_1f.Item.Gbx      |   8
18 |  0 | snow_6x6_1f.Item.Gbx      |   8
24 |  0 | snow_6x6_1f.Item.Gbx      |   8
 0 |  6 | snow_6x6_1f.Item.Gbx      |   8
 6 |  6 | snow_6x6_1f.Item.Gbx      |   8
22 |  6 | snow_6x6_1f.Item.Gbx      |   8
 0 | 12 | snow_6x6_1f.Item.Gbx      |   8
 6 | 12 | snow_6x6_1f.Item.Gbx      |   8
21 | 12 | snow_6x6_1f.Item.Gbx      |   8
12 | 16 | snow_6x6_1f.Item.Gbx      |   8
 0 | 18 | snow_6x6_1f.Item.Gbx      |   8
 6 | 18 | snow_6x6_1f.Item.Gbx      |   8
18 | 18 | snow_6x6_1f.Item.Gbx      |   8
24 | 18 | snow_6x6_1f.Item.Gbx      |   8
 0 |  0 | snow_6x6_1f.Item.Gbx      |   9
 6 |  0 | snow_6x6_1f.Item.Gbx      |   9
12 |  0 | snow_6x6_1f.Item.Gbx      |   9
18 |  0 | snow_6x6_1f.Item.Gbx      |   9
24 |  0 | snow_6x6_1f.Item.Gbx      |   9
 0 |  6 | snow_6x6_1f.Item.Gbx      |   9
 6 |  6 | snow_6x6_1f.Item.Gbx      |   9
22 |  6 | snow_6x6_1f.Item.Gbx      |   9
